ANI,DNIS,Country,Carrier
19543004835,50764137984,US,Verizon
19543004836,50764137985,US,AT&T
19543004837,50764137986,US,T-Mobile
19543004838,50764137987,US,Sprint
19543004839,50764137988,US,Verizon
19543004840,50764137989,US,AT&T
19543004841,50764137990,US,T-Mobile
19543004842,50764137991,US,Sprint
19543004843,50764137992,US,Verizon
19543004844,50764137993,US,AT&T
12125551234,14155551234,US,Verizon
13105551234,17185551234,US,AT&T
16465551234,19725551234,US,T-Mobile
17735551234,12145551234,US,Sprint
18185551234,13035551234,US,Verizon
